trip_id,route_id,service_id,trip_headsign,block_id
739_TMS752,21,3,Loop,705
664_TMS576,5,3,Loop,711
704_TMS458,11,3,Loop,701
598_TMS248,13,2,Loop,603
21_TMS551,1,1,Loop,111
639_TMS568,1,3,Loop,704
136_TMS36,6,1,Loop,104
370_TMS675,16,1,Loop,116
456_TMS178,3,2,Loop,607
253_TMS83,11,1,Loop,118
28_TMS265,2,1,Loop,106
450_TMS303,2,2,Loop,602
243_TMS74,10,1,Loop,120
269_TMS99,11,1,Loop,119
170_TMS361,8,1,Loop,108
258_TMS88,11,1,Loop,119
555_TMS447,11,2,Loop,611
257_TMS87,11,1,Loop,117
473_TMS196,5,2,Loop,602
